,Unnamed: 0,label,tweet
0,1,Anger,"['hari', 'sangat', 'sebal', 'sekali', 'sama', 'kerja', 'deh', 'harus', 'lebih', 'baik', 'malah', 'makin', 'ribet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1,2,Fear,"['yuhu', 'yang', 'bantuin', 'tugas', 'butuh', 'bantu', 'sekarang', 'dong', 'keburu', 'deadline', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
2,3,Sad,"['sangka', 'nyata', 'si', 'sudah', 'punya', 'pacar', 'kenapa', 'bilang', 'awal', 'padahal', 'setia', 'sekali', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
3,4,Joy,"['makan', 'siang', 'kafe', 'baru', 'enak', 'sekali', 'mau', 'kesana', 'weekend', 'siapa', 'mau', 'ikut', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
4,5,Fear,"['kemarin', 'habis', 'nonton', 'film', 'horror', 'seram', 'sekali', 'tidak', 'tidur', 'malam', 'pikir', 'terus', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
5,6,Love,"['baru', 'ketemu', 'teman', 'lama', 'mall', 'senang', 'banyak', 'cerita', 'harus', 'diupdate', 'kangen', 'sekali', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
6,7,Sad,"['gimana', 'sih', 'dapat', 'tiket', 'konser', 'coba', 'kali', 'kali', 'selalu', 'sold', 'out', 'tips', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
7,8,Neutral,"['hujan', 'deras', 'luar', 'enak', 'tidur', 'siang', 'dengerin', 'musik', 'jazz', 'siapa', 'suka', 'mirip', 'gin', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
8,9,Joy,"['ajar', 'coding', 'nyata', 'seru', 'awal', 'susah', 'kalau', 'ngerti', 'jadi', 'tagih', 'mau', 'bikin', 'project', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
9,10,Neutral,"['weekend', 'mau', 'staycation', 'villa', 'butuh', 'sekali', 'refreshing', 'rutinitas', 'hari', 'hari', 'siapa', 'ikut', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
